iter	Passed	Remaining
0	148	148826
1	150	75199
2	153	51092
3	156	39050
4	159	31756
5	162	26920
6	165	23451
7	168	20838
8	170	18792
9	173	17180
10	176	15847
11	178	14718
12	181	13770
13	183	12955
14	186	12249
15	189	11624
16	191	11091
17	194	10603
18	196	10168
19	199	9774
20	201	9410
21	204	9087
22	206	8792
23	209	8519
24	211	8266
25	214	8035
26	217	7824
27	219	7634
28	222	7449
29	225	7276
30	227	7123
31	230	6972
32	233	6832
33	235	6698
34	238	6576
35	241	6454
36	243	6338
37	246	6230
38	248	6122
39	250	6019
40	253	5923
41	255	5831
42	258	5742
43	260	5669
44	263	5593
45	265	5514
46	268	5443
47	270	5372
48	273	5305
49	275	5240
50	278	5178
51	280	5120
52	283	5069
53	286	5015
54	288	4962
55	291	4915
56	294	4866
57	296	4815
58	298	4767
59	301	4716
60	303	4669
61	305	4628
62	308	4586
63	310	4547
64	313	4507
65	315	4469
66	318	4429
67	320	4395
68	323	4358
69	325	4324
70	328	4292
71	330	4264
72	333	4234
73	335	4202
74	338	4172
75	340	4143
76	343	4114
77	345	4085
78	348	4058
79	350	4032
80	352	4004
81	355	3978
82	357	3953
83	360	3929
84	362	3904
85	365	3880
86	367	3858
87	370	3834
88	372	3811
89	374	3788
90	377	3766
91	379	3745
92	381	3724
93	384	3707
94	387	3689
95	389	3670
96	392	3652
97	395	3638
98	397	3622
99	400	3605
100	403	3587
101	405	3570
102	408	3554
103	410	3537
104	413	3522
105	415	3508
106	418	3493
107	421	3479
108	423	3463
109	426	3448
110	428	3433
111	431	3421
112	434	3409
113	437	3396
114	439	3383
115	442	3370
116	444	3356
117	447	3342
118	449	3329
119	452	3315
120	454	3303
121	457	3289
122	459	3277
123	462	3264
124	464	3251
125	467	3239
126	469	3228
127	472	3217
128	474	3205
129	476	3191
130	479	3181
131	482	3170
132	484	3160
133	487	3148
134	489	3138
135	492	3128
136	494	3118
137	497	3108
138	500	3097
139	502	3087
140	505	3077
141	507	3067
142	510	3056
143	512	3048
144	515	3038
145	517	3028
146	520	3020
147	522	3010
148	525	3001
149	527	2990
150	530	2981
151	532	2972
152	535	2962
153	537	2953
154	539	2942
155	542	2934
156	544	2925
157	547	2915
158	549	2907
159	552	2898
160	554	2890
161	557	2883
162	560	2877
163	563	2871
164	566	2865
165	568	2857
166	571	2849
167	573	2840
168	576	2833
169	578	2826
170	581	2819
171	584	2813
172	587	2806
173	589	2799
174	592	2792
175	595	2786
176	597	2778
177	600	2771
